Run info,Date,Time,Instance,Best obj,Wall time,CPU time,MIP time,Std Dev


,,,Newman1,24486184,,,,
,,,Zuck_small,854182396,,,,
,,,KD,409498555,,,,
,,,Zuck_medium,710641410,,,,
,,,marvin,863916131,,,,
,,,Zuck_large,57389094,,,,
