Run info,Date,Time,Instance,Best obj,Wall time,CPU time,MIP time,Std Dev

,,,Newman1,2.41769e+07,,,,
,,,Zuck_small,8.47058e+08,,,,
,,,KD,4.09124e+08,,,,
,,,Zuck_medium,6.68589e+08,,,,
,,,marvin,8.56383e+08,,,,
,,,Zuck_large,5.68129e+07,,,,
