0 6.35961e+08
1 6.50966e+08
2 6.54554e+08
3 6.54713e+08
4 6.56534e+08
5 6.57515e+08
6 6.58311e+08
7 6.58828e+08
8 6.59275e+08
9 6.59637e+08
10 6.59838e+08
11 6.60084e+08
12 6.60151e+08
13 6.60194e+08
14 6.60211e+08
15 6.60273e+08
16 6.60308e+08
17 6.60344e+08
18 6.6036e+08
19 6.60368e+08
20 6.60376e+08
21 6.60434e+08
22 6.6044e+08
23 6.60445e+08
24 6.60445e+08
25 6.60448e+08
26 6.60456e+08
27 6.60469e+08
28 6.60481e+08
29 6.60481e+08
30 6.60486e+08
31 6.60486e+08
32 6.605e+08
33 6.605e+08
34 6.60504e+08
35 6.60506e+08
36 6.60537e+08
37 6.60537e+08
38 6.60547e+08
39 6.60567e+08
40 6.60575e+08
41 6.60647e+08
42 6.61301e+08
43 6.62539e+08
44 6.6332e+08
45 6.63642e+08
46 6.63759e+08
47 6.64061e+08
48 6.6447e+08
49 6.64663e+08
50 6.64804e+08
51 6.65007e+08
52 6.65311e+08
53 6.65644e+08
54 6.65989e+08
55 6.66144e+08
56 6.6626e+08
57 6.66386e+08
58 6.66549e+08
59 6.66609e+08
60 6.66671e+08
61 6.66716e+08
62 6.66716e+08
63 6.66732e+08
64 6.66743e+08
65 6.66743e+08
66 6.66769e+08
67 6.66769e+08
68 6.66769e+08
